uuid	Edited_site_num	Edited_sites
04f03ef4-364c-451d-bf1c-a79fb50efb42	1	NM_001022656.2-180,
02363d3a-7c29-4b5a-9afe-4fe26c0d3678	1	NM_001022656.2-180,
0451c68b-67a2-4fd5-b4cb-9742b9e50bb0	1	NM_001022656.2-180,
0546e6a1-5b14-4734-ace8-721b1f313f00	1	NM_001022656.2-180,
00ad9e58-f2f8-45cf-889e-d1236ce70038	1	NM_001022656.2-180,
002a6d29-0ca7-444d-bfe8-23bdb44532a8	1	NM_001022656.2-180,
03eef747-8a08-434a-a72a-805dbf14a571	1	NM_001022656.2-180,
03ce78c4-0af8-4ef2-8ab9-5ebd98855b2e	2	NM_001022656.2-180,NM_001022656.2-948,
030c7ed7-e29a-4f40-af27-4b2a2fcdd581	1	NM_001022656.2-948,
032dec05-ddda-4227-9bf6-069be5aa4802	1	NM_001022656.2-948,
00c35ccf-76f1-4bf3-896d-03a158869ec6	2	NM_001022656.2-180,NM_001022656.2-948,
01786c96-c20c-4a5d-81f0-890b61034d76	2	NM_001022656.2-180,NM_001022656.2-948,
04c28e3d-e8a2-4fa6-8014-4402939a51fa	1	NM_001022656.2-948,
00f6f62c-05a2-4c39-80e4-6ed661a4f9b4	1	NM_001022656.2-180,
0116436f-fa86-4e2d-857f-dd43eefc5824	1	NM_001022656.2-948,
